,Basic Box Score Stats
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,5:00,1,2,.500,1,1,1.000,0,0,,2,4,6,0,0,0,0,0,3,+3
Domantas Sabonis,4:56,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,+3
De'Aaron Fox,5:00,2,4,.500,0,0,,1,2,.500,0,0,0,1,0,0,0,0,5,+3
Harrison Barnes,5:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+3
Chris Duarte, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,4:55,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,1,0,3,+3
Trey Lyles,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kevin Huerter, 
Davion Mitchell, 
JaVale McGee, 
Juan Toscano-Anderson,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kessler Edwards,Did Not Play
Keon Ellis,Did Not Play
Alex Len,Did Not Play
Sasha Vezenkov,Did Not Play
Team Totals,25,4,10,.400,2,3,.667,1,2,.500,3,6,9,2,1,0,1,1,11,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keegan Murray,45:42,.667,.667,.286,.000,10.2,21.6,15.7,3.7,1.1,0.0,0.0,19.6,145,120,4.1
Domantas Sabonis,45:30,.612,.571,.000,.643,15.3,46.1,30.2,37.5,2.2,2.8,25.0,22.5,120,112,8.2
De'Aaron Fox,43:57,.316,.273,.227,.182,7.9,2.8,5.4,21.4,1.2,0.0,11.2,26.0,87,123,-12.6
Harrison Barnes,36:23,.759,.778,.667,.556,3.2,6.8,4.9,3.7,1.4,0.0,0.0,13.2,160,122,2.1
Chris Duarte,10:24,.000,.000,.333,.000,0.0,0.0,0.0,10.9,4.9,0.0,40.0,20.6,15,114,-26.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malik Monk,46:03,.787,.775,.650,.400,0.0,8.0,3.9,31.6,2.2,2.7,11.3,24.6,149,118,13.1
Trey Lyles,22:04,.833,.833,.500,.000,15.8,0.0,8.1,0.0,0.0,5.7,0.0,11.6,175,122,2.2
Kevin Huerter,17:54,.170,.000,.800,.400,6.5,41.4,23.4,12.7,0.0,0.0,14.5,16.4,66,120,-14.0
Davion Mitchell,13:57,.333,.333,.667,.000,0.0,8.8,4.3,26.6,0.0,0.0,40.0,15.3,71,125,-11.4
JaVale McGee,7:47,.753,1.000,.000,1.500,0.0,31.7,15.4,0.0,6.6,0.0,0.0,18.2,134,105,4.8
Juan Toscano-Anderson,0:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-7.2
Kessler Edwards,Did Not Play
Keon Ellis,Did Not Play
Alex Len,Did Not Play
Sasha Vezenkov,Did Not Play
Team Totals,290,.582,.557,.381,.295,36.0,85.1,59.8,70.6,7.9,6.5,12.5,100.0,121.5,118.9,
